name,migration
Switzerland,25495
Albania,370
Andorra,4
Belgium,1314
Bulgaria,2180
Denmark,430
Germany,19687
Finland,440
France,15895
Greece,1815
United Kingdom,4337
Ireland,674
Iceland,72
Italy,16799
Liechtenstein,112
Luxembourg,173
Malta,52
Monaco,7
Netherlands,1460
Norway,204
Austria,2704
Poland,4597
Portugal,7542
Romania,4866
San Marino,3
Sweden,1009
Spain,5588
Turkey,2360
Hungary,2830
Vatican City State,1
Cyprus,167
Slovakia,2024
Czech Rep.,1030
Serbia,1065
Croatia,793
Slovenia,688
Bosnia and Herz.,411
Montenegro,50
Macedonia,1551
Kosovo,1858
Estonia,124
Latvia,271
Lithuania,398
Moldova,109
Russia,1644
Ukraine,674
Belarus,94
Eq. Guinea,7
Ethiopia,152
Djibouti,11
Algeria,173
Angola,48
Botswana,7
Burundi,27
Benin,22
Côte d'Ivoire,124
Gabon,9
Gambia,38
Ghana,94
Guinea-Bissau,18
Guinea,59
Cameroon,242
Cabo Verde,48
Kenya,182
Comoros,3
Congo,17
Dem. Rep. Congo,105
Lesotho,4
Liberia,6
Libya,36
Madagascar,62
Malawi,15
Mali,21
Morocco,524
Mauritania,12
Mauritius,46
Mozambique,8
Niger,8
Nigeria,206
Burkina Faso,36
Zimbabwe,51
Rwanda,29
Zambia,27
Sao Tom� and Principe,1
Senegal,117
Seychelles,3
Sierra Leone,19
Somalia,166
South Africa,195
Sudan,60
Namibia,9
Swaziland,3
Tanzania,46
Togo,51
Chad,11
Tunisia,450
Uganda,48
Egypt,309
Central African Rep.,3
Eritrea,658
S. Sudan,5
W. Sahara,0
Argentina,216
Bahamas,7
Barbados,3
Bolivia,74
Brazil,1524
Chile,183
Costa Rica,51
Dominican Rep.,214
Ecuador,203
El Salvador,21
Guatemala,33
Guyana,2
Haiti,26
Belize,2
Honduras,35
Jamaica,27
Canada,682
Colombia,492
Cuba,129
Mexico,531
Nicaragua,32
Panama,30
Paraguay,32
Peru,168
Suriname,1
Trinidad and Tobago,9
Uruguay,28
Venezuela,138
United States,2745
Dominica,8
Grenada,2
Antigua and Barbuda,6
Saint Lucia,1
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,4
Afghanistan,1047
Bahrain,7
Bhutan,8
Brunei,4
Myanmar,71
Sri Lanka,504
Taiwan,216
China,2926
India,2487
Indonesia,257
Iraq,285
Iran,653
Israel,156
Japan,704
Yemen,16
Jordan,58
Cambodia,63
Qatar,7
Kuwait,9
Lao PDR,13
Lebanon,333
Malaysia,149
Maldives,4
Oman,12
Mongolia,72
Nepal,50
Dem. Rep. Korea,2
United Arab Emirates,16
Pakistan,227
Philippines,428
Saudi Arabia,132
Singapore,151
Korea,472
Syria,997
Thailand,650
Vietnam,435
Bangladesh,70
Timor-Leste,0
Palestine,23
Armenia,54
Azerbaijan,101
Georgia,129
Kazakhstan,174
Kyrgyzstan,32
Tajikistan,9
Turkmenistan,10
Uzbekistan,37
Australia,448
Fiji,10
Nauru,1
Vanuatu,1
New Zealand,129
Papua New Guinea,4
Tonga,0
Samoa,2
Solomon Islands,0
Tuvalu,0
Kiribati,0
Marshall Islands,5
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
